participant_num,pseudoword_rep/48,fwd_recall/54,fwd_recall_range/9,bwd_recall/45,bwd_recall_range/9,fwd_corsi/54,fwd_corsi_range/9,bwd_corsi/45,bwd_corsi_range/9
2,44,25,4,7,2,21,4,8,2
3,44,28,5,10,3,18,3,10,3
5,45,26,5,6,2,17,3,8,2
6,44,29,5,11,3,22,4,17,4
9,40,22,4,6,2,16,3,8,2
10,46,32,6,9,3,23,4,12,3
11,48,38,7,12,3,20,4,16,3
12,42,26,4,7,2,18,4,8,2
14,45,29,5,9,3,29,5,20,5
17,42,25,4,6,2,17,3,8,2
19,47,35,6,11,3,18,3,10,3
20,46,27,5,9,2,24,4,9,2
21,38,25,4,6,2,18,3,7,2
22,47,32,5,12,3,25,4,20,4
23,46,25,4,6,2,20,3,8,2
24,46,27,4,9,2,15,2,7,2
25,46,28,5,12,3,16,3,14,3
26,47,27,4,10,3,24,4,11,3
27,46,25,4,6,2,21,4,13,3
28,47,28,5,8,2,19,3,7,2
29,48,37,6,6,2,22,4,16,4
